,State Code,State,Zip Code,City,Year,Price,% Increase,Latitude,Longitude
122,AZ,Arizona,85308,Glendale,143700,291600,202.92,33.6539,-112.1694
123,AZ,Arizona,85281,Tempe,111800,250800,224.33,33.4227,-111.9261
124,NM,New Mexico,87111,Albuquerque,149700,269600,180.09,35.1347,-106.5222
125,MI,Michigan,48180,Taylor,94500,103100,109.1,42.2317,-83.2673
126,FL,Florida,34787,Winter Garden,150200,318600,212.12,28.5423,-81.5911
127,CA,California,94533,Fairfield,149900,387100,258.24,38.2671,-122.0357
128,TX,Texas,76063,Mansfield,162200,277800,171.27,32.5773,-97.1416
129,PA,Pennsylvania,15601,Greensburg,79500,150100,188.81,40.3074,-79.5424
130,TX,Texas,77459,Missouri City,181500,273000,150.41,29.5704,-95.5423
131,CA,California,91709,Chino Hills,245300,677600,276.23,33.9797,-117.7308
132,OH,Ohio,43055,Newark,82800,130600,157.73,40.0724,-82.4046
133,CA,California,95608,Carmichael,172900,415200,240.14,38.6284,-121.3287
134,TX,Texas,79938,El Paso,96800,148800,153.72,31.8045,-105.9661
135,AZ,Arizona,85364,Yuma,80000,134800,168.5,32.7015,-114.6424
136,OH,Ohio,44060,Mentor,137500,175800,127.85,41.6895,-81.3421
137,NY,New York,11238,New York,165600,978700,591,40.679,-73.9644
138,OH,Ohio,43123,Grove City,126900,181400,142.95,39.8814,-83.0839
139,TX,Texas,78577,Pharr,62300,89900,144.3,26.1771,-98.187
140,CO,Colorado,80013,Aurora,155500,342800,220.45,39.6575,-104.7846
141,FL,Florida,33024,Pembroke Pines,93000,277500,298.39,26.0296,-80.2489
142,FL,Florida,33908,Fort Myers,141400,245000,173.27,26.5025,-81.9276
143,NY,New York,11385,New York,198300,667300,336.51,40.7036,-73.8961
144,TX,Texas,75056,The Colony,156700,288500,184.11,33.094,-96.8836
145,WA,Washington,98012,Bothell,239300,580700,242.67,47.8401,-122.1972
146,CA,California,90066,Los Angeles,347800,1437600,413.34,34.003,-118.4298
147,MD,Maryland,20906,Silver Spring,161900,349400,215.81,39.084,-77.0613
148,TX,Texas,76028,Burleson,115300,221000,191.67,32.5316,-97.309
149,NY,New York,14850,Ithaca,98000,245100,250.1,42.4406,-76.4966
150,FL,Florida,33647,Tampa,146100,287700,196.92,28.1147,-82.3678
151,CA,California,92677,Laguna Niguel,346100,852400,246.29,33.5145,-117.7084
152,GA,Georgia,30040,Cumming,173100,304300,175.79,34.2321,-84.158
153,NC,North Carolina,27587,Wake Forest,179200,310500,173.27,35.9815,-78.5392
154,OH,Ohio,44256,Medina,131800,221900,168.36,41.1404,-81.8584
155,MA,Massachusetts,2148,Malden,178900,464800,259.81,42.4291,-71.0605
156,MO,Missouri,65807,Springfield,94000,131100,139.47,37.1668,-93.3085
157,IL,Illinois,60620,Chicago,88300,125900,142.58,41.7411,-87.6543
158,NY,New York,11373,New York,156500,570400,364.47,40.7351,-73.8776
159,CA,California,95823,Sacramento,99400,280000,281.69,38.4797,-121.4438
160,CT,Connecticut,6902,Stamford,134800,254600,188.87,41.0602,-73.5445
161,CA,California,92336,Fontana,163300,456200,279.36,34.1173,-117.4378
162,OH,Ohio,45011,Hamilton,133700,199400,149.14,39.4059,-84.5221
163,TX,Texas,77845,College Station,149000,255800,171.68,30.5118,-96.3171
164,IN,Indiana,47906,West Lafayette,116900,209100,178.87,40.444,-86.9237
165,NC,North Carolina,27410,Greensboro,151100,226900,150.17,36.1032,-79.8794
166,MO,Missouri,65203,Columbia,149800,220400,147.13,38.9348,-92.3639
167,GA,Georgia,30188,Woodstock,141000,244700,173.55,34.106,-84.5117
168,CA,California,92345,Hesperia,88300,254500,288.22,34.4222,-117.3025
169,NY,New York,10028,New York,627000,1477600,235.66,40.7763,-73.9529
170,NV,Nevada,89121,Las Vegas,116100,228100,196.47,36.1232,-115.0902
171,IN,Indiana,46307,Crown Point,116400,228900,196.65,41.4236,-87.3556
172,NJ,New Jersey,7302,Jersey City,189700,909000,479.18,40.7221,-74.0469
173,CA,California,92804,Anaheim,193200,580400,300.41,33.8186,-117.9729
