RegionID,ZIP,City,State,Metro,CountyName,SizeRank,MedianHome,GrowthRate(1996),GrowthRate(2000),GrowthRate(2004),GrowthRate(2008),GrowthRate(2012),GrowthRate(2016)
94911,85335,El Mirage,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,4047,203300,2.146779303,2.008893281,1.597014925,1.11641955,3.094368341,1.420684836
99572,98112,Seattle,WA,Seattle-Tacoma-Bellevue,King County,4048,1226600,4.765345765,2.870582729,2.273586654,1.639182146,2.068814303,1.3237643
60729,7631,Englewood,NJ,New York-Newark-Jersey City,Bergen County,4049,388800,2.443746072,2.023945862,1.222641509,0.912247771,1.29126536,1.194103194
72769,33706,Saint Pete Beach,FL,Tampa-St. Petersburg-Clearwater,Pinellas County,4050,466900,3.237864078,2.826271186,1.360431235,1.102739726,1.698435795,1.252414163
70108,28658,Newton,NC,Hickory-Lenoir-Morganton,Catawba County,4051,125700,1.884557721,1.658311346,1.410774411,1.197142857,1.388950276,1.342948718
70356,29201,Columbia,SC,Columbia,Richland County,4052,154600,2.24057971,2.042272127,1.436802974,1.03480589,1.2078125,1.197521301
95509,88005,Las Cruces,NM,Las Cruces,Dona Ana County,4053,168900,1.62716763,1.697487437,1.437446809,0.974610502,1.112648221,1.150544959
60694,7501,Paterson,NJ,New York-Newark-Jersey City,Passaic County,4054,214800,2.009354537,1.707472178,1.143769968,0.645820806,1.520169851,1.441610738
99522,98037,Lynnwood,WA,Seattle-Tacoma-Bellevue,Snohomish County,4055,514200,3.371803279,2.569715142,2.05105704,1.424771405,2.144286906,1.413802585
96173,90605,Whittier,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,4056,518000,3.435013263,2.99248989,1.644966656,1.142227122,1.698917678,1.179148646
73753,36109,Montgomery,AL,Montgomery,Montgomery County,4057,96800,1.151010702,1.096262741,1.039742213,0.845414847,1.01787592,1.038626609
65809,19142,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,4058,65900,1.967164179,1.599514563,1.213627993,0.897820163,1.168439716,1.664141414
60529,7013,Clifton,NJ,New York-Newark-Jersey City,Passaic County,4059,365200,2.173809524,1.89615784,1.170888105,0.940267765,1.196592398,1.143751957
99364,97601,Klamath Falls,OR,Klamath Falls,Klamath County,4060,151600,2.272863568,2.073871409,1.592436975,0.961928934,1.505461768,1.423474178
67248,22408,Fredericksburg,VA,Washington-Arlington-Alexandria,Spotsylvania County,4061,268600,2.242070117,1.988156921,1.253383108,0.999627838,1.308966862,1.129995793
74327,37355,Manchester,TN,Tullahoma-Manchester,Coffee County,4062,146300,2.553228621,1.971698113,1.733412322,1.298136646,1.525547445,1.272173913
75892,41051,Independence,KY,Cincinnati,Kenton County,4063,187400,1.754681648,1.468652038,1.316936051,1.220846906,1.278308322,1.177135678
58629,2115,Boston,MA,Boston-Cambridge-Newton,Suffolk County,4064,691900,1.196024201,1.196024201,1.196024201,2.31345E+25,1.196024201,1.231577074
97127,93105,Santa Barbara,CA,Santa Maria-Santa Barbara,Santa Barbara County,4065,1168500,3.770571152,2.470924085,1.334818369,1.176855675,1.574373484,1.119896492
76515,43085,Worthington,OH,Columbus,Franklin County,4066,277600,2.096676737,1.816753927,1.479744136,1.434625323,1.475026567,1.206956522
71730,32003,Fleming Island,FL,Jacksonville,Clay County,4067,278900,2.116084977,1.792416452,1.386182903,1.028013269,1.392411383,1.192899914
96971,92653,Laguna Hills,CA,Los Angeles-Long Beach-Anaheim,Orange County,4068,764100,3.495425435,2.52344782,1.350954738,1.1777127,1.577089783,1.097844828
99525,98040,Mercer Island,WA,Seattle-Tacoma-Bellevue,King County,4069,1584500,4.105986007,2.839605735,2.318893605,1.595509012,2.145855905,1.401096472
72256,32832,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,4070,327800,2.583136328,2.314971751,1.621969322,1.05165223,1.769023206,1.186391603
94598,84601,Provo,UT,Provo-Orem,Utah County,4071,290200,2.129126926,2.124450952,1.972807614,1.490498202,1.904199475,1.485158649
99964,98685,Vancouver,WA,Portland-Vancouver-Hillsboro,Clark County,4072,389500,2.748764996,2.255356109,1.956303365,1.33344745,1.771259663,1.308803763
70225,28786,Waynesville,NC,Asheville,Haywood County,4073,143400,2.896969697,2.237129485,1.746650426,1.101382488,1.376199616,1.373563218
95073,85737,Oro Valley,AZ,Tucson,Pima County,4074,310400,1.859796285,1.740886147,1.326495726,0.956548536,1.352505447,1.172205438
74894,38583,Sparta,TN,,White County,4075,113000,2.562358277,1.95164076,1.816720257,1.361445783,1.452442159,1.278280543
84652,60655,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4076,240800,1.909595559,1.746192893,1.252210088,0.951026856,1.289079229,1.12470808
94740,85024,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,4077,289300,2.61101083,2.113221329,1.665515256,1.116126543,2.030175439,1.217592593
95515,88012,Las Cruces,NM,Las Cruces,Dona Ana County,4078,167600,1.591642925,1.698074975,1.372645373,0.973286876,1.112143331,1.175315568
62265,11793,Wantagh,NY,New York-Newark-Jersey City,Nassau County,4079,493500,2.852601156,2.098214286,1.258286588,1.108739609,1.393280632,1.176400477
84287,60018,Des Plaines,IL,Chicago-Naperville-Elgin,Cook County,4080,251600,1.541666667,1.407158837,0.973684211,0.813449725,1.397777778,1.143636364
72051,32539,Crestview,FL,Crestview-Fort Walton Beach-Destin,Okaloosa County,4081,158600,2.252840909,2.028132992,1.550342131,1.016015375,1.330536913,1.258730159
67167,22153,Springfield,VA,Washington-Arlington-Alexandria,Fairfax County,4082,525000,2.679938744,2.383113936,1.386687797,1.103636746,1.248216833,1.096949436
70916,30143,Jasper,GA,Atlanta-Sandy Springs-Roswell,Pickens County,4083,225100,2.712048193,1.878964942,1.243646409,1.160309278,1.551343901,1.252643294
65248,17901,Pottsville,PA,Pottsville,Schuylkill County,4084,67800,1.625899281,1.439490446,1.175043328,0.997058824,1.187390543,1.1281198
66246,20152,Chantilly,VA,Washington-Arlington-Alexandria,Loudoun County,4085,556000,2.564575646,2.19070134,1.333653154,1.133075199,1.291521487,1.124595469
77616,45356,Piqua,OH,Dayton,Miami County,4086,91200,1.310344828,1.158831004,1.059233449,1.018994413,1.184415584,1.214380826
81412,53593,Verona,WI,Madison,Dane County,4087,358100,2.257881463,1.993875278,1.398281921,1.246866295,1.362114873,1.176799211
85076,61611,East Peoria,IL,Peoria,Tazewell County,4088,120900,1.780559647,1.204183267,1.154727794,0.984527687,1.067078553,1.032450897
72064,32563,Gulf Breeze,FL,Pensacola-Ferry Pass-Brent,Santa Rosa County,4089,244100,2.58854719,2.032472939,1.562740077,1.170182167,1.483890578,1.226017077
84432,60187,Wheaton,IL,Chicago-Naperville-Elgin,DuPage County,4090,315300,1.955955335,1.687901499,1.205275229,1.030728996,1.408847185,1.15876516
94477,84117,Holladay,UT,Salt Lake City,Salt Lake County,4091,456100,2.436431624,2.287362086,2.199132112,1.422645041,1.8700287,1.386743691
73353,35160,Talladega,AL,Talladega-Sylacauga,Talladega County,4092,73700,1.160629921,1.212171053,1.054363376,0.900977995,0.985294118,1.036568214
79126,48315,Shelby,MI,Detroit-Warren-Dearborn,Macomb County,4093,320000,1.63599182,1.331668747,1.15232265,1.216267579,1.57635468,1.149012567
84701,60914,Bourbonnais,IL,Kankakee,Kankakee County,4094,183700,1.362759644,1.285514346,1.229585007,1.002182215,1.057570524,1.146691635
63484,14227,Cheektowaga,NY,Buffalo-Cheektowaga-Niagara Falls,Erie County,4095,146900,1.684633028,1.734356553,1.522279793,1.337887067,1.305777778,1.185633575
96784,92284,Yucca Valley,CA,Riverside-San Bernardino-Ontario,San Bernardino County,4096,203600,3.337704918,2.933717579,1.653939886,1.118066996,1.969052224,1.447050462
