State Code,State,Zip Code,City, Beginning 2000 , End 2018 ,% Increase
KY,Kentucky,42101,Bowling Green,67400,141800,210.39
IL,Illinois,60622,Chicago,234900,447000,190.29
AZ,Arizona,85251,Scottsdale,128000,343500,268.36
KY,Kentucky,40601,Frankfort,92100,135500,147.12
NJ,New Jersey,07087,Union City,140800,432200,306.96
TX,Texas,77007,Houston,278500,410500,147.4
OK,Oklahoma,73160,Moore,69400,139700,201.3
FL,Florida,33319,Lauderhill,55000,111400,202.55
MO,Missouri,63123,Affton,99300,159100,160.22
WA,Washington,98682,Vancouver,137100,312700,228.08
CA,California,93536,Lancaster,156600,355000,226.69
MD,Maryland,21215,Baltimore,58300,85800,147.17
CA,California,93550,Palmdale,90700,275300,303.53
TX,Texas,78501,McAllen,70300,117000,166.43
NY,New York,11208,New York,149000,478100,320.87
CA,California,94509,Antioch,170500,411500,241.35
TN,Tennessee,37064,Franklin,191000,440300,230.52
GA,Georgia,30135,Douglasville,117200,178400,152.22
TX,Texas,77057,Houston,156600,239700,153.07
IL,Illinois,60615,Chicago,130900,192100,146.75
FL,Florida,32828,Orlando,141300,297400,210.47
OH,Ohio,45601,Chillicothe,82100,124600,151.77
NV,Nevada,89031,North Las Vegas,132900,261600,196.84
CA,California,95035,Milpitas,360800,1111100,307.95
CA,California,93535,Lancaster,91700,257700,281.03
NY,New York,14221,Amherst,120900,247800,204.96
CA,California,94568,Dublin,369200,922800,249.95
PA,Pennsylvania,19446,Lansdale,165100,315300,190.98
AZ,Arizona,85142,Queen Creek,147000,315400,214.56
TX,Texas,76116,Fort Worth,95900,199700,208.24
VA,Virginia,23451,Virginia Beach,173700,406800,234.2
NV,Nevada,89123,Las Vegas,143000,300800,210.35
MD,Maryland,21122,Pasadena,142600,311900,218.72
CA,California,93306,Bakersfield,93500,203100,217.22
CA,California,94122,San Francisco,441300,1445900,327.65
TX,Texas,78249,San Antonio,124300,216100,173.85
NY,New York,11225,New York,218400,1400400,641.21
NY,New York,14580,Webster,133100,199200,149.66
CA,California,95758,Elk Grove,162800,397600,244.23
IL,Illinois,60641,Chicago,158100,278900,176.41
KS,Kansas,66061,Olathe,142600,251100,176.09
IL,Illinois,60660,Chicago,117400,203600,173.42
FL,Florida,33321,Tamarac,84500,200000,236.69
TX,Texas,75043,Garland,100400,202300,201.49
PA,Pennsylvania,19020,Bensalem,132800,252700,190.29
DE,Delaware,19720,New Castle,98300,183300,186.47
GA,Georgia,30253,McDonough,134400,181200,134.82
IL,Illinois,60453,Oak Lawn,141800,189900,133.92
SC,South Carolina,29445,Goose Creek,92000,183900,199.89
CA,California,93257,Porterville,83000,194300,234.1
NC,North Carolina,27707,Durham,128800,253000,196.43
TN,Tennessee,37122,Mount Juliet,146000,315500,216.1
GA,Georgia,31419,Savannah,108400,164200,151.48
TX,Texas,77521,Baytown,113700,179300,157.7
PA,Pennsylvania,19120,Philadelphia,47900,94600,197.49
CA,California,93274,Tulare,91400,196200,214.66
NY,New York,11204,New York,244600,912800,373.18
FL,Florida,33467,Greenacres,135700,306400,225.79
MD,Maryland,21222,Dundalk,78900,139400,176.68
CA,California,93307,Bakersfield,78100,176400,225.86
CA,California,93230,Hanford,102500,221200,215.8
VA,Virginia,22204,Arlington,152100,498100,327.48
SC,South Carolina,29681,Simpsonville,135900,236300,173.88
TN,Tennessee,37066,Gallatin,117900,245200,207.97
CA,California,93309,Bakersfield,95500,209400,219.27
AZ,Arizona,85282,Tempe,125600,286400,228.03
IN,Indiana,46143,Greenwood,124300,186300,149.88
MD,Maryland,20874,Germantown,130700,299200,228.92
NY,New York,11219,New York,231400,818900,353.89
TX,Texas,75002,Allen,169700,295400,174.07
FL,Florida,32246,Jacksonville,93400,188100,201.39
MS,Mississippi,38655,Oxford,116200,213800,183.99
CA,California,92630,Lake Forest,261300,710500,271.91
GA,Georgia,31088,Warner Robins,76600,129400,168.93
CA,California,94541,Hayward,222800,640400,287.43
WA,Washington,98133,Shoreline,199000,575300,289.1
CA,California,90802,Long Beach,92000,376500,409.24
SC,South Carolina,29223,Columbia,98700,124400,126.04
IL,Illinois,60056,Mount Prospect,203100,296000,145.74
FL,Florida,33157,Village of Palmetto Bay,111900,327200,292.4
CA,California,94538,Fremont,289400,999400,345.34
CA,California,95076,Watsonville,262000,584700,223.17
NC,North Carolina,28601,Hickory,110200,161400,146.46
AZ,Arizona,85022,Phoenix,133800,280000,209.27
NC,North Carolina,28216,Charlotte,116000,168900,145.6
NY,New York,11213,New York,203400,910400,447.59
TN,Tennessee,37167,Smyrna,109100,226300,207.42
NC,North Carolina,27705,Durham,138600,280900,202.67
SC,South Carolina,29485,Summerville,127600,224000,175.55
WA,Washington,99208,Spokane,123900,266100,214.77
FL,Florida,32792,Winter Park,99500,245700,246.93
AL,Alabama,36117,Montgomery,137800,162800,118.14
WA,Washington,98122,Seattle,246100,780000,316.94
GA,Georgia,31907,Columbus,76000,85600,112.63
DC,Washington D.C.,20020,Washington,110800,345600,311.91
TX,Texas,78758,Austin,122500,287500,234.69
FL,Florida,32608,Gainesville,101900,212700,208.73
MI,Michigan,48823,East Lansing,139000,203000,146.04
LA,Louisiana,70726,Denham Springs,108600,159100,146.5
CA,California,90631,La Habra,210200,600100,285.49
NC,North Carolina,28205,Charlotte,95400,270400,283.44
CA,California,92647,Huntington Beach,266500,754400,283.08
MO,Missouri,63021,Ballwin,147700,256400,173.6
PA,Pennsylvania,17331,Penn,102000,175600,172.16
FL,Florida,32765,Oviedo,138500,300600,217.04
FL,Florida,33511,Brandon,96800,216700,223.86
CA,California,94513,Brentwood,286800,589000,205.37
MD,Maryland,21224,Baltimore,60200,171700,285.22
TX,Texas,77083,Houston,98000,171900,175.41
AZ,Arizona,85345,Peoria,101900,207000,203.14
OR,Oregon,97045,Oregon City,168800,412400,244.31
TX,Texas,78741,Austin,101200,253300,250.3
TN,Tennessee,37040,Clarksville,87700,159600,181.98
TX,Texas,78251,San Antonio,114900,192400,167.45
PA,Pennsylvania,15301,Washington,82700,140300,169.65
FL,Florida,34293,Venice,90900,225400,247.96
TX,Texas,75211,Dallas,66100,161900,244.93
GA,Georgia,30263,Newnan,102500,173300,169.07
NC,North Carolina,28215,Charlotte,112000,179700,160.45
CA,California,92154,San Diego,166900,479400,287.24
CA,California,92104,San Diego,150900,617500,409.21
IL,Illinois,60637,Chicago,99200,133700,134.78
NM,New Mexico,87124,Rio Rancho,123700,185600,150.04
TN,Tennessee,37421,Chattanooga,120000,190300,158.58
MD,Maryland,20852,North Bethesda,173900,420300,241.69
CT,Connecticut,06516,West Haven,108600,177700,163.63
MO,Missouri,63129,Oakville,144500,228100,157.85
CA,California,92115,San Diego,176800,537700,304.13
AZ,Arizona,85204,Mesa,104600,225700,215.77
NV,Nevada,89110,Las Vegas,109100,217300,199.18
MA,Massachusetts,01960,Peabody,215100,437400,203.35
GA,Georgia,30066,Marietta,148700,260900,175.45
NY,New York,11368,New York,131400,531100,404.19
NY,New York,11203,New York,179300,529000,295.04
CA,California,95355,Modesto,145500,332100,228.25
CA,California,95670,Rancho Cordova,127600,335700,263.09
SC,South Carolina,29579,Forestbrook,135000,187700,139.04
NC,North Carolina,27519,Cary,237700,432000,181.74
TN,Tennessee,37129,Murfreesboro,108100,241000,222.94
ID,Idaho,83301,Twin Falls,103100,196600,190.69
OK,Oklahoma,74133,Tulsa,127900,185000,144.64
CA,California,94587,Union City,301100,931800,309.47
CA,California,92646,Huntington Beach,297800,856100,287.47
FL,Florida,33458,Jupiter,147500,346200,234.71
MD,Maryland,21061,Glen Burnie,123900,249900,201.69
MT,Montana,59901,Kalispell,130900,271500,207.41
MN,Minnesota,55124,Apple Valley,153000,273900,179.02
TN,Tennessee,37027,Brentwood,292800,590300,201.61
TX,Texas,77346,Atascocita,141900,216900,152.85
OR,Oregon,97401,Eugene,154000,347700,225.78
WA,Washington,98632,Longview,106000,244300,230.47
CA,California,92620,Irvine,335900,942700,280.65
IL,Illinois,60608,Chicago,130900,258500,197.48
NV,Nevada,89148,Las Vegas,156700,311200,198.6
KY,Kentucky,42701,Elizabethtown,89800,163200,181.74
TX,Texas,78254,San Antonio,125200,215200,171.88
IL,Illinois,60148,Lombard,163400,261200,159.85
NV,Nevada,89074,Henderson,151200,316500,209.33
HI,Hawaii,96706,Ewa Beach,201300,624500,310.23
CA,California,92376,Rialto,102900,341400,331.78
NY,New York,11216,New York,154100,864900,561.26
TX,Texas,77375,Tomball,147000,208400,141.77
NC,North Carolina,28227,Mint Hill,120500,200000,165.98
PA,Pennsylvania,19067,Lower Makefield,191700,382000,199.27
TX,Texas,76179,Fort Worth,128700,216800,168.45
TN,Tennessee,38305,Jackson,106600,140000,131.33
TX,Texas,78748,Austin,156300,293900,188.04
VA,Virginia,23322,Chesapeake,156800,348300,222.13
OH,Ohio,45044,Middletown,100100,130100,129.97
CA,California,95014,Cupertino,650200,2263900,348.19
OH,Ohio,43229,Columbus,106200,153500,144.54
NC,North Carolina,28210,Charlotte,150500,337400,224.19
GA,Georgia,30058,Lithonia,106600,135000,126.64
FL,Florida,33414,Wellington,163100,376900,231.09
TX,Texas,79924,El Paso,65100,99300,152.53
TX,Texas,78664,Round Rock,137800,232000,168.36
OH,Ohio,45013,Hamilton,104500,139900,133.88
LA,Louisiana,70072,Marrero,81900,129700,158.36
AZ,Arizona,85008,Phoenix,84000,227500,270.83
CA,California,92105,San Diego,126000,435200,345.4
GA,Georgia,30101,Acworth,147300,237500,161.24
IN,Indiana,47150,New Albany,85400,136700,160.07
NV,Nevada,89103,Las Vegas,93600,187000,199.79
CA,California,94080,South San Francisco,356600,1022300,286.68
FL,Florida,33433,Boca Raton,132700,297800,224.42
NY,New York,12180,Troy,88500,173700,196.27
NY,New York,14094,Lockport,78800,144000,182.74
FL,Florida,32825,Orlando,103300,239600,231.95
KY,Kentucky,41042,Florence,116000,161800,139.48
CA,California,92122,San Diego,282400,731100,258.89
MD,Maryland,20910,Silver Spring,186100,546700,293.77
NC,North Carolina,27265,High Point,125000,163000,130.4
TX,Texas,75070,McKinney,206900,319600,154.47
WI,Wisconsin,53704,Madison,114600,212400,185.34
VA,Virginia,23455,Virginia Beach,139800,289100,206.8
TX,Texas,78753,Austin,115400,248500,215.34
ID,Idaho,83646,Meridian,158900,311100,195.78
GA,Georgia,30047,Lilburn,144400,223200,154.57
WA,Washington,98208,Seattle Hill-Silver Firs,196300,463100,235.91
UT,Utah,84404,Ogden,120600,248000,205.64
FL,Florida,32303,Tallahassee,85700,143000,166.86
FL,Florida,33015,Country Club,100200,257200,256.69
CA,California,92648,Huntington Beach,365400,996800,272.8
CA,California,95112,San Jose,302600,902400,298.22
MI,Michigan,48439,Grand Blanc,134500,178300,132.57
NJ,New Jersey,08759,Manchester,101900,165800,162.71
CA,California,95648,Lincoln,217400,465800,214.26
WI,Wisconsin,53711,Madison,152600,297900,195.22
CA,California,94112,San Francisco,337600,1116800,330.81
TX,Texas,77070,Houston,132400,207400,156.65
MS,Mississippi,39759,Starkville,114000,192800,169.12
NJ,New Jersey,07047,North Bergen,157600,391400,248.35
AZ,Arizona,85383,Peoria,204900,395300,192.92
TX,Texas,78759,Austin,234000,444500,189.96
FL,Florida,33463,Greenacres,87700,226600,258.38
NY,New York,10014,New York,623500,1902800,305.18
